ID,Season,Team Name,Arena,Games (G),Wins (W),Losses (L),Win/Loss Percentage (W/L%),Minutes Played (MP),Pace Factor (Pace),Relative Pace,Offensive Rating (ORtg),Relative Offensive Rating,Defensive Rating (DRtg),Relative Defensive Rating,Points Per Game (Pts/G),Opponent Points Per Game (Opp Pts/G),Field Goals Made (FG),Field Goal Attempts (FGA),Field Goal Percentage (FG%),3-Point Field Goals Made (3P),3-Point Field Goal Attempts (3PA),3-Point Field Goal Percentage (3P%),2-Point Field Goals Made (2P),2-Point Field Goal Attempts (2PA),2-Point Field Goal Percentage (2P%),Effective Field Goal Percentage (eFG%),Free Throws Made (FT),Free Throw Attempts (FTA),Free Throw Percentage (FT%),FT/FGA,Offensive Rebounds (ORB),Offensive Rebound Percentage (ORB%),Defensive Rebounds (DRB),Defensive Rebound Percentage (DRB%),Total Rebounds (TRB),Total Rebounds Per Game,Total Rebound Percentage (TRB%),Assists (AST),Assist Percentage (AST%),Assists Per Game,Steals (STL),Steal Percentage (STL%),Steals Per Game,Blocks (BLK),Block Percentage (BLK%),Blocks Per Game,Turnovers (TOV),Turnover Percentage (TOV%),Turnovers Per Game,Personal Fouls (PF),Personal Fouls Per Game,Points (PTS),Points Per Game,Standing,Conference Standing,Playoff result,Conference Champion,Champion
32,2021,Milwaukee Bucks,Fiserv Forum,72,46,26,0.639,17330,102.2,3.0,117.2,4.9,111.4,-0.9,120.1,114.2,3221,6610,0.487,1038,2669,0.389,2183,3941,0.554,0.566,1169,1539,0.76,0.177,741,23.3,2724,79.7,3465,48.1,,1834,,25.5,585,,8.1,334,,4.6,995,,13.8,1244,17.3,8649,120.1,7,3,Finals,1,1
33,2021,New York Knicks,Madison Square Garden (IV),72,41,31,0.569,17430,95.9,-3.3,110.6,-1.7,108.2,-4.1,107.0,104.7,2839,6225,0.456,847,2163,0.392,1992,4062,0.49,0.524,1181,1506,0.784,0.19,696,21.9,2554,78.6,3250,45.1,,1541,,21.4,507,,7.0,365,,5.1,932,,12.9,1473,20.5,7706,107.0,11,4,Eastern Conference First Round,0,0
34,2021,Atlanta Hawks,State Farm Arena,72,41,31,0.569,17405,97.6,-1.6,115.7,3.4,113.3,1.0,113.7,111.4,2937,6281,0.468,895,2402,0.373,2042,3879,0.526,0.539,1417,1745,0.812,0.226,760,24.4,2525,77.8,3285,45.6,,1737,,24.1,503,,7.0,342,,4.8,953,,13.2,1392,19.3,8186,113.7,12,5,Eastern Conference Finals,0,0
35,2021,Miami Heat,AmericanAirlines Arena,72,40,32,0.556,17380,96.6,-2.6,111.2,-1.1,111.2,-1.1,108.1,108.0,2824,6029,0.468,932,2606,0.358,1892,3423,0.553,0.546,1201,1520,0.79,0.199,579,19.4,2409,77.9,2988,41.5,,1895,,26.3,569,,7.9,286,,4.0,1013,,14.1,1363,18.9,7781,108.1,13,6,Eastern Conference First Round,0,0
36,2021,Boston Celtics,TD Garden,72,36,36,0.5,17380,98.3,-0.9,114.0,1.7,112.5,0.2,112.6,111.2,2985,6401,0.466,979,2618,0.374,2006,3783,0.53,0.543,1160,1496,0.775,0.181,765,24.3,2421,78.1,3186,44.3,,1689,,23.5,556,,7.7,383,,5.3,1012,,14.1,1471,20.4,8109,112.6,16,7,Eastern Conference First Round,0,0
37,2021,Washington Wizards,Capital One Arena,72,34,38,0.472,17405,104.1,4.9,111.2,-1.1,113.0,0.7,116.6,118.5,3108,6547,0.475,733,2088,0.351,2375,4459,0.533,0.531,1449,1884,0.769,0.221,697,21.3,2557,77.6,3254,45.2,,1835,,25.5,528,,7.3,297,,4.1,1037,,14.4,1555,21.6,8398,116.6,17,8,Eastern Conference First Round,0,0
38,2021,Indiana Pacers,Bankers Life Fieldhouse,72,34,38,0.472,17455,101.6,2.4,112.4,0.1,112.4,0.1,115.3,115.3,3115,6567,0.474,889,2445,0.364,2226,4122,0.54,0.542,1183,1493,0.792,0.18,648,20.2,2424,74.9,3072,42.7,,1973,,27.4,611,,8.5,460,,6.4,975,,13.5,1453,20.2,8302,115.3,18,9,Not Qualified,0,0
39,2021,Charlotte Hornets,Spectrum Center,72,33,39,0.458,17355,98.3,-0.9,110.9,-1.4,112.8,0.5,109.5,111.4,2875,6324,0.455,985,2666,0.369,1890,3658,0.517,0.532,1146,1505,0.761,0.181,762,23.5,2389,75.7,3151,43.8,,1933,,26.8,565,,7.8,344,,4.8,1069,,14.8,1297,18.0,7881,109.5,19,10,Not Qualified,0,0
40,2021,Chicago Bulls,United Center,72,31,41,0.431,17380,99.0,-0.2,111.1,-1.2,112.0,-0.3,110.7,111.6,3035,6380,0.476,904,2446,0.37,2131,3934,0.542,0.547,995,1258,0.791,0.156,693,22.3,2544,80.3,3237,45.0,,1927,,26.8,482,,6.7,304,,4.2,1089,,15.1,1362,18.9,7969,110.7,21,11,Not Qualified,0,0
41,2021,Toronto Raptors,Amalie Arena,72,27,45,0.375,17305,99.2,0.0,112.0,-0.3,112.5,0.2,111.3,111.7,2859,6383,0.448,1041,2831,0.368,1818,3552,0.512,0.529,1252,1536,0.815,0.196,680,20.8,2314,76.3,2994,41.6,,1735,,24.1,618,,8.6,388,,5.4,952,,13.2,1526,21.2,8011,111.3,24,12,Not Qualified,0,0
42,2021,Cleveland Cavaliers,Rocket Mortgage Fieldhouse,72,22,50,0.306,17430,97.3,-1.9,105.8,-6.5,114.4,2.1,103.8,112.3,2778,6175,0.45,720,2141,0.336,2058,4034,0.51,0.508,1200,1614,0.743,0.194,751,23.6,2327,76.6,3078,42.8,,1716,,23.8,559,,7.8,325,,4.5,1114,,15.5,1308,18.2,7476,103.8,26,13,Not Qualified,0,0
43,2021,Orlando Magic,Amway Center,72,21,51,0.292,17330,98.7,-0.5,105.1,-7.2,114.5,2.2,104.0,113.3,2754,6423,0.429,784,2288,0.343,1970,4135,0.476,0.49,1196,1543,0.775,0.186,747,21.6,2525,78.2,3272,45.4,,1571,,21.8,496,,6.9,318,,4.4,924,,12.8,1237,17.2,7488,104.0,28,14,Not Qualified,0,0
44,2021,Detroit Pistons,Little Caesars Arena,72,20,52,0.278,17430,97.9,-1.3,108.0,-4.3,112.5,0.2,106.6,111.1,2783,6162,0.452,832,2370,0.351,1951,3792,0.515,0.519,1278,1683,0.759,0.207,694,21.9,2381,76.9,3075,42.7,,1743,,24.2,531,,7.4,371,,5.2,1075,,14.9,1477,20.5,7676,106.6,29,15,Not Qualified,0,0
45,2021,Utah Jazz,Vivint Smart Home Arena,72,52,20,0.722,17355,98.5,-0.7,117.6,5.3,108.3,-4.0,116.4,107.2,2971,6344,0.468,1205,3098,0.389,1766,3246,0.544,0.563,1235,1546,0.799,0.195,765,24.5,2709,79.3,3474,48.3,,1703,,23.7,474,,6.6,371,,5.2,1023,,14.2,1335,18.5,8382,116.4,1,1,Western Conference Semifinals,0,0
46,2021,Phoenix Suns,Phoenix Suns Arena,72,51,21,0.708,17480,97.2,-2.0,117.2,4.9,111.3,-1.0,115.3,109.5,3118,6357,0.49,940,2490,0.378,2178,3867,0.563,0.564,1124,1347,0.834,0.177,630,20.8,2462,78.5,3092,42.9,,1939,,26.9,517,,7.2,312,,4.3,902,,12.5,1374,19.1,8300,115.3,2,2,Finals,1,0
47,2021,Denver Nuggets,Ball Arena,72,47,25,0.653,17480,97.1,-2.1,117.1,4.8,112.1,-0.2,115.1,110.1,3114,6422,0.485,927,2462,0.377,2187,3960,0.552,0.557,1129,1406,0.803,0.176,758,24.7,2442,78.9,3200,44.4,,1933,,26.8,582,,8.1,323,,4.5,972,,13.5,1374,19.1,8284,115.1,5,3,Western Conference Semifinals,0,0
48,2021,Los Angeles Clippers,STAPLES Center,72,47,25,0.653,17280,96.9,-2.3,117.6,5.3,111.2,-1.1,114.0,107.8,3009,6242,0.482,1027,2498,0.411,1982,3744,0.529,0.564,1164,1387,0.839,0.186,678,22.7,2501,79.1,3179,44.2,,1756,,24.4,509,,7.1,295,,4.1,950,,13.2,1383,19.2,8209,114.0,6,4,Western Conference Finals,0,0
49,2021,Dallas Mavericks,American Airlines Center,72,42,30,0.583,17305,97.3,-1.9,115.4,3.1,113.0,0.7,112.4,110.2,2958,6287,0.47,994,2744,0.362,1964,3543,0.554,0.55,1186,1524,0.778,0.189,657,21.1,2463,77.8,3120,43.3,,1647,,22.9,450,,6.3,311,,4.3,869,,12.1,1396,19.4,8096,112.4,8,5,Western Conference First Round,0,0
50,2021,Portland Trail Blazers,Moda Center,72,42,30,0.583,17305,98.4,-0.8,117.8,5.5,116.0,3.7,116.1,114.3,2973,6558,0.453,1132,2939,0.385,1841,3619,0.509,0.54,1282,1558,0.823,0.195,766,23.0,2441,77.5,3207,44.5,,1531,,21.3,496,,6.9,363,,5.0,799,,11.1,1362,18.9,8360,116.1,9,6,Western Conference First Round,0,0
51,2021,Los Angeles Lakers,STAPLES Center,72,42,30,0.583,17455,98.7,-0.5,109.9,-2.4,107.1,-5.2,109.5,106.8,2925,6197,0.472,796,2248,0.354,2129,3949,0.539,0.536,1241,1679,0.739,0.2,695,22.5,2490,79.7,3185,44.2,,1775,,24.7,562,,7.8,386,,5.4,1095,,15.2,1377,19.1,7887,109.5,10,7,Western Conference First Round,0,0
52,2021,Golden State Warriors,Chase Center,72,39,33,0.542,17305,102.2,3.0,111.1,-1.2,110.1,-2.2,113.7,112.7,2973,6347,0.468,1048,2789,0.376,1925,3558,0.541,0.551,1193,1520,0.785,0.188,574,17.9,2524,76.6,3098,43.0,,1991,,27.7,587,,8.2,342,,4.8,1080,,15.0,1526,21.2,8187,113.7,14,8,Not Qualified,0,0
53,2021,Memphis Grizzlies,FedEx Forum,72,38,34,0.528,17405,100.4,1.2,112.0,-0.3,111.0,-1.3,113.3,112.3,3085,6608,0.467,803,2258,0.356,2282,4350,0.525,0.528,1184,1536,0.771,0.179,803,24.2,2543,78.3,3346,46.5,,1938,,26.9,655,,9.1,364,,5.1,957,,13.3,1349,18.7,8157,113.3,15,9,Western Conference First Round,0,0
54,2021,San Antonio Spurs,AT&T Center,72,33,39,0.458,17480,98.9,-0.3,111.0,-1.3,112.8,0.5,111.1,112.8,3014,6518,0.462,716,2046,0.35,2298,4472,0.514,0.517,1254,1584,0.792,0.192,669,20.0,2489,77.3,3158,43.9,,1759,,24.4,505,,7.0,366,,5.1,821,,11.4,1293,18.0,7998,111.1,20,10,Not Qualified,0,0
55,2021,New Orleans Pelicans,Smoothie King Center,72,31,41,0.431,17430,100.1,0.9,113.5,1.2,113.8,1.5,114.6,114.9,3060,6412,0.477,762,2190,0.348,2298,4222,0.544,0.537,1369,1878,0.729,0.214,845,26.3,2568,80.0,3413,47.4,,1872,,26.0,545,,7.6,315,,4.4,1052,,14.6,1295,18.0,8251,114.6,22,11,Not Qualified,0,0
