Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,Dwight Powell,49,57.27,Dallas Mavericks,3868,4,2020,C,12,40,37,26.50,3.70,5.70,0.638,0.30,1.00,0.256,3.40,4.80,0.716,0.659,1.90,2.80,0.667,1.90,3.80,5.70,1.50,0.90,0.60,0.90,2.60,9.40,15.90,0.2534333868,0.1582299066,0.1110656641,1.2089824544,-0.2974449019,0.81274564022,-0.0256993881,-0.141622988,0.11770171588
2020,C,Mo Bamba,50,57.27,Orlando Magic,214,19,2020,C,8,62,0,14.20,2.10,4.60,0.462,0.60,1.70,0.346,1.50,2.90,0.531,0.526,0.50,0.70,0.674,1.60,3.30,4.90,0.70,0.40,1.40,0.70,1.90,5.40,17.50,-0.4349448974,-0.4781720829,-0.1459632249,-0.2659277132,1.0974691231,-0.35019325326,0.2060508388,-0.4248689641,0.11738579938
2020,C,John Henson,51,57.22,Detroit Pistons,2056,29,2020,C,8,11,6,17.10,3.10,4.60,0.667,0.20,0.50,0.400,2.90,4.20,0.696,0.686,0.50,1.20,0.462,1.30,3.10,4.40,1.00,0.70,0.90,1.40,2.10,6.90,17.10,-0.1768030408,-0.2395213368,-0.3066062806,0.6190183874,0.2256478575,1.04883097949,0.1481132821,0.5664919521,0.1145593419
2020,C,Jaxson Hayes,52,56.91,New Orleans Pelicans,2013,6,2020,C,7,64,14,16.90,2.70,4.00,0.672,0.00,0.10,0.250,2.70,4.00,0.678,0.674,1.90,3.00,0.647,1.50,2.50,4.00,0.90,0.40,0.90,0.80,2.50,7.40,17.60,-0.0907557553,-0.3190715855,-0.4351207251,-0.2659277132,0.2256478575,0.94390416204,0.220535228,-0.283245976,0.09642873246
2020,C,Tony Bradley,53,56.53,Utah Jazz,503,11,2020,C,8,58,3,11.40,2.20,3.30,0.667,0.10,0.10,1.000,2.10,3.20,0.661,0.675,0.50,0.80,0.652,1.90,2.70,4.60,0.40,0.20,0.60,0.50,2.00,4.90,21.70,-0.5209921829,-0.716822829,-0.2423490583,-0.8558917803,-0.2974449019,0.95264806349,0.8143951843,-0.7081149401,0.07402253925
2020,C,Chris Boucher,54,56.48,Toronto Raptors,465,26,2020,C,9,62,0,13.20,2.30,4.80,0.472,0.60,1.90,0.322,1.70,2.90,0.569,0.535,1.50,1.90,0.784,1.70,2.70,4.50,0.40,0.40,1.00,0.50,1.80,6.60,20.70,-0.2284314121,-0.716822829,-0.2744776695,-0.2659277132,0.4000121106,-0.27149814017,0.6695512925,-0.7081149401,0.07142133496
2020,C,Gorgui Dieng,55,56.3,Minnesota Timberwolves,1192,2,2020,C,10,46,17,16.90,2.70,6.00,0.448,1.00,2.60,0.383,1.70,3.40,0.497,0.531,1.00,1.30,0.797,1.60,4.00,5.60,1.30,0.80,0.90,1.00,1.90,7.40,17.80,-0.0907557553,-0.0008705908,0.078937053,0.9140004209,0.2256478575,-0.30647374599,0.2495040063,0,0.0608246033
2020,C,Ian Mahinmi,56,56.13,Washington Wizards,2970,28,2020,C,12,38,35,21.30,2.70,5.50,0.495,0.10,0.70,0.192,2.60,4.80,0.538,0.507,1.80,3.00,0.619,2.10,3.70,5.70,1.30,0.80,1.20,1.20,3.00,7.40,14.20,-0.0907557553,-0.0008705908,0.1110656641,0.9140004209,0.7487406168,-0.5163273809,-0.2719340042,0.283245976,0.05059133824
2020,C,Daniel Gafford,57,56.04,Chicago Bulls,1591,23,2020,C,7,43,7,14.20,2.20,3.10,0.701,0.00,0.00,,2.20,3.10,0.701,0.701,0.70,1.40,0.533,1.20,1.30,2.50,0.50,0.30,1.30,0.70,2.30,5.10,16.20,-0.4865732687,-0.6372725803,-0.917049892,-0.5609097468,0.9231048699,1.17998950131,0.0177537794,-0.4248689641,0.04581619716
2020,C,Bismack Biyombo,58,56,Charlotte Hornets,383,27,2020,C,15,53,29,19.40,2.80,5.20,0.543,0.00,0.00,,2.80,5.20,0.543,0.543,1.70,2.80,0.603,2.30,3.50,5.80,0.90,0.20,0.90,0.90,2.20,7.40,16.10,-0.0907557553,-0.3190715855,0.1431942752,-0.8558917803,0.2256478575,-0.20154692853,0.0032693903,-0.141622988,0.04297431231
