Season,Position,Player Name,rank_position,Score,Team Name,player_id,team_id,season,position,experience,games,games_started,minutes,fg,fga,fg_percent,three_p,three_pa,three_percent,two_p,two_pa,two_percent,efg,ft,fta,ft_percent,orb,drb,trb,ast,stl,blk,tov,pf,pts,per,z_pts,z_ast,z_trb,z_stl,z_blk,z_efg,z_per,z_tov,raw_score
2020,C,Donta Hall,40,55.21,Brooklyn Nets,1883,25,2020,C,2,5,0,17.00,2.80,3.60,0.778,0.00,0.00,,2.80,3.60,0.778,0.778,1.00,2.40,0.417,1.60,3.00,4.60,0.40,0.40,1.00,0.60,2.80,6.60,17.20,-0.2264198858,-0.7920769976,-0.2246433017,-0.2933182152,0.3577511516,2.08334189483,0.1698319616,-0.6151759502,0.30517667305
2020,C,Tacko Fall,41,54.18,Boston Celtics,1426,15,2020,C,3,7,0,4.70,1.60,2.00,0.786,0.00,0.00,,1.60,2.00,0.786,0.786,0.10,0.40,0.333,0.10,2.00,2.10,0.10,0.10,0.60,0.40,1.00,3.30,28.40,-0.8540959806,-1.0899996397,-1.028778832,-1.1329695944,-0.3275958821,2.16103646022,2.2072333866,-0.9115034792,0.25070091487
2020,C,Willie Cauley-Stein,42,54.03,Dallas Mavericks,786,4,2020,C,7,13,2,12.10,2.40,3.50,0.689,0.00,0.10,0.000,2.40,3.40,0.705,0.689,0.40,0.70,0.556,1.00,3.60,4.60,0.80,0.30,0.80,0.40,1.50,5.20,22.20,-0.4927067139,-0.3948468082,-0.2246433017,-0.5732020082,0.0150776347,1.21898985487,1.0793861692,-0.9115034792,0.24275842621
2020,C,Al Horford,43,53.74,Philadelphia 76ers,2166,21,2020,C,19,67,61,30.20,4.80,10.60,0.450,1.50,4.20,0.350,3.30,6.40,0.516,0.520,0.90,1.20,0.763,1.50,5.30,6.80,4.00,0.80,0.90,1.20,2.10,11.90,15.70,0.7816659634,2.7829947068,0.4829959649,0.8262169572,0.1864143931,-0.42230783899,-0.1030343006,0.2738066368,0.22756003318
2020,C,Willie Cauley-Stein,44,53.71,Golden State Warriors,786,9,2020,C,7,41,37,22.90,3.50,6.30,0.560,0.00,0.00,,3.50,6.30,0.560,0.560,0.90,1.40,0.614,1.70,4.50,6.20,1.50,1.10,1.20,0.90,2.50,7.90,16.20,0.0208464545,0.3003060232,0.2900034376,1.6658683365,0.7004246684,-0.03383501205,-0.0120788799,-0.1706846567,0.22609400498
2020,C,Alex Len,45,53.49,Sacramento Kings,2824,8,2020,C,12,15,3,15.00,2.30,3.90,0.593,0.10,0.20,0.667,2.20,3.70,0.589,0.610,1.10,1.60,0.708,2.10,4.00,6.10,0.50,0.20,1.00,1.10,2.30,5.90,18.20,-0.3595632999,-0.6927694503,0.2578380164,-0.8530858013,0.3577511516,0.45175602164,0.3517428032,0.1256428723,0.21461614729
2020,C,Cody Zeller,46,52.85,Charlotte Hornets,5397,27,2020,C,11,58,39,23.10,4.30,8.30,0.524,0.30,1.30,0.240,4.00,7.00,0.577,0.543,2.10,3.10,0.682,2.80,4.30,7.10,1.50,0.70,0.40,1.30,2.40,11.10,18.80,0.6295020616,0.3003060232,0.5794922285,0.5463331641,-0.6702693989,-0.1989359635,0.4608893081,0.4219704013,0.18084590947
2020,C,Dewayne Dedmon,47,52.75,Atlanta Hawks,1141,24,2020,C,10,10,8,23.30,3.30,8.40,0.393,0.80,3.60,0.222,2.50,4.80,0.521,0.440,0.70,0.80,0.875,1.40,6.80,8.20,0.70,1.00,1.50,1.00,4.00,8.10,11.40,0.05888743,-0.4941543556,0.9333118618,1.3859845434,1.2144349436,-1.19925349289,-0.8852509191,-0.0225208922,0.17549083623
2020,C,Alex Len,48,51.97,Atlanta Hawks,2824,24,2020,C,12,40,9,18.60,3.60,6.50,0.546,0.40,1.40,0.250,3.20,5.10,0.627,0.573,1.30,2.00,0.630,1.70,4.00,5.80,1.10,0.50,0.80,1.00,2.30,8.70,17.50,0.1730103563,-0.0969241662,0.1613417528,-0.0134344221,0.0150776347,0.09241865671,0.2244052141,-0.0225208922,0.13422745426
2020,C,Dwight Powell,49,51.95,Dallas Mavericks,3868,4,2020,C,12,40,37,26.50,3.70,5.70,0.638,0.30,1.00,0.256,3.40,4.80,0.716,0.659,1.90,2.80,0.667,1.90,3.80,5.70,1.50,0.90,0.60,0.90,2.60,9.40,15.90,0.3061537704,0.3003060232,0.1291763316,1.1061007503,-0.3275958821,0.92763523466,-0.0666521323,-0.1706846567,0.1331609372
